action_type,alignment,alpha,background_blur,background_gradient_direction,border_color_alpha,border_color_hex,border_width,bottomMask,color_alpha,color_hex,content_mode,corner_radius_units,corner_radius_value,description,disable_tap_zones,flip_interval,font_color_alpha,font_color_hex,font_size,font_type,guid,height,height_points,hex,hidden,hide_page_status,icon_background_blur,icon_background_gradient_direction,item_size_height_units,item_size_height_value,item_size_width_units,item_size_width_value,key,log_view,margin_bottom,margin_left,margin_right,margin_top,name,number_of_items,orientation,padding_bottom,padding_left,padding_right,padding_top,rotation,size_height_units,size_height_value,size_width_units,size_width_value,template_identifier,template_name,text,tint_color_alpha,tint_color_hex,title,topMask,trigger,type,userInfo,story_id
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,10.0,1.0,#ffffff,20,normal,2c77ccaa-052e-46ec-9bd1-33bce9ab9af0,,,#ffffff,false,False,False,vertical,,,,,,False,0,16,16,0,Изменить пин-код,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Введите новую комбинацию и нажмите кнопку «Задать ПИН-код».,,,,False,,grouped,,127
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,копия,False,15.0,1.0,#000000,15,normal,b0aade75-d138-4e56-9905-ec13c2d81b41,,,#ffdd2c,false,False,False,vertical,,,,,,False,0,0,0,0,Пополнить «Стрелку»,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Пополнить карту,,,,False,,grouped,,254
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,2e628110-ef51-4455-a29d-6068f013843c,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Тинькофф Инвестиции 2.0,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Активировать счет,,,,False,,web_view,,865
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,30b55994-98cd-4b73-bafd-80c3d9c1785a,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Что делать на Faces & Laces,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Если вы вдруг заскучаете, попробуйте покорить скейт. Будет непросто, но на мгновение вы почувствуете себя звездой подростковых инди-фильмов. Самые отчаянные могут освоить баскетбольную площадку.",,,2,False,,label,,1491
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,041ff8dd-4330-47a8-8350-e1aee25f79cb,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Необычные виды спорта,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Где попрыгать,,,,False,,web_view,,598
,leading,1.0,False,diagonal,,,0.0,False,,,fit,pixels,0,картинка,False,15.0,1.0,#ffffff,17,normal,a5da6c52-79ad-4e74-8aa0-2d4e69e021dc,40.0,percent,#b596e1,false,False,False,vertical,,,,,,False,0,0,0,0,Скрытые карты,,horizontal,0,0,0,0,,pixels,0,pixels,0,,text,"Если карта или счет скрыты, их не видно в меню с лимитами и ПИН-кодами. Выбрать для платежей их тоже не получится.  ",,,,False,,label,,202
,center,1.0,False,diagonal,1.0,#ffffff,1.0,False,,,fill,pixels,16,тощщый,False,10.0,1.0,#000000,15,bold,335584bb-d879-4c1f-869d-d03ba6ba1e7b,,,#ffffff,false,False,False,vertical,,,,,,True,0,0,0,0,Как хранить карту,,horizontal,0,0,0,0,,pixels,44,pixels,225,,,Подробный разбор,,,,False,,web_view,,1405
common_request,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,,20.0,1.0,#000000,15,normal,e6707b4c-cc0a-4c86-9ae5-d6cad8a11555,,,#ffdd2c,false,,False,vertical,,,,,,,0,0,0,0,Рестораны для дружеских встреч,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Забронировать,,,,False,on_close,deeplink,,195
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,dcdb11cf-31c6-405c-8591-a61dcfc70a18,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Рюкзаки для школы,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Купить,,,,False,,web_view,,1524
,leading,0.0,False,diagonal,,,0.0,False,,,fill,pixels,0,3,False,20.0,1.0,#ffffff,17,normal,fedc0e3c-3b75-413c-83b2-b76158f49f90,40.0,percent,#000000,false,False,False,vertical,,,,,,False,0,0,0,0,Что такое овердрафт,,horizontal,0,0,0,0,,pixels,0,pixels,0,,text,"Если услугу подключат, остаток на счете изменится: к нему прибавится размер овердрафта. Вы можете пользоваться деньгами из овердрафта сразу после того, как закончатся собственные: снимайте их в банкомате или оплачивайте покупки по карте.",,,15,False,,label,,205
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,5,,25.0,1.0,#000000,15,normal,db25bc65-535d-4feb-8e9f-ee52bfd052bb,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,,0,0,0,0,Как не надо экономить,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Больше полезных советов,,,,False,,web_view,,267
